Country,Year,Average female percentage,Gap,Index
Hungary,2018,0.4444098874025876,0.05559011259741242,0.8888197748051752
Hungary,2019,0.41568721727502245,0.08431278272497755,0.8313744345500449
Hungary,2020,0.40957875182979436,0.09042124817020564,0.8191575036595887
Hungary,2021,0.42652857415479806,0.07347142584520194,0.8530571483095961
Hungary,2022,0.41640165838159077,0.08359834161840923,0.8328033167631815
Ireland,2013,0.3370532563937119,0.16294674360628808,0.6741065127874238
Ireland,2014,0.3364266435115072,0.1635733564884928,0.6728532870230144
Ireland,2015,0.3385141193937856,0.16148588060621438,0.6770282387875712
Ireland,2016,0.34039384932750233,0.15960615067249767,0.6807876986550047
Ireland,2017,0.342062434793301,0.157937565206699,0.684124869586602
Ireland,2018,0.37927650148439107,0.12072349851560893,0.7585530029687821
Ireland,2019,0.3772049518511618,0.12279504814883818,0.7544099037023236
Ireland,2020,0.37140659710849144,0.12859340289150856,0.7428131942169829
Ireland,2021,0.37524072044743234,0.12475927955256766,0.7504814408948647
Ireland,2022,0.3868372321976567,0.1131627678023433,0.7736744643953134
Italy,2013,0.30204706813082133,0.19795293186917867,0.6040941362616427
Italy,2014,0.29890504924174516,0.20109495075825484,0.5978100984834903
Italy,2015,0.29801683530782963,0.20198316469217037,0.5960336706156593
Italy,2016,0.32752601785302854,0.17247398214697146,0.6550520357060571
Italy,2017,0.2907962815315611,0.20920371846843888,0.5815925630631222
Italy,2018,0.2944569741581684,0.2055430258418316,0.5889139483163368
Italy,2019,0.29458750767854425,0.20541249232145575,0.5891750153570885
Italy,2020,0.2953434504287737,0.2046565495712263,0.5906869008575474
Italy,2021,0.3001859824852925,0.1998140175147075,0.600371964970585
Italy,2022,0.2972084983646896,0.2027915016353104,0.5944169967293792
Latvia,2013,0.4872456530218444,0.012754346978155584,0.9744913060436888
Latvia,2014,0.47761107531494734,0.022388924685052658,0.9552221506298947
Latvia,2015,0.4667853514062401,0.03321464859375989,0.9335707028124802
Latvia,2016,0.4787356120692193,0.021264387930780726,0.9574712241384385
Latvia,2017,0.47025935288042336,0.029740647119576635,0.9405187057608467
Latvia,2018,0.47279407457034456,0.027205925429655442,0.9455881491406891
Latvia,2019,0.466257345834524,0.033742654165476005,0.932514691669048
Latvia,2020,0.4665181643264019,0.03348183567359808,0.9330363286528038
Latvia,2021,0.453981008365826,0.046018991634174,0.907962016731652
Latvia,2022,0.4749734665058674,0.025026533494132586,0.9499469330117348
Lithuania,2013,0.49197256288194535,0.008027437118054648,0.9839451257638907
Lithuania,2014,0.4927771879438587,0.007222812056141281,0.9855543758877174
Lithuania,2015,0.4987257387657356,0.0012742612342643844,0.9974514775314712
Lithuania,2016,0.4911644486401652,0.008835551359834826,0.9823288972803303
Lithuania,2017,0.49555485097929963,0.0044451490207003674,0.9911097019585993
Lithuania,2018,0.47805545493872764,0.021944545061272358,0.9561109098774553
Lithuania,2019,0.4798816933182941,0.02011830668170589,0.9597633866365882
Lithuania,2020,0.4753683513019633,0.02463164869803669,0.9507367026039266
Lithuania,2021,0.4775324592736253,0.02246754072637469,0.9550649185472506
Lithuania,2022,0.489949185143849,0.010050814856151002,0.979898370287698
Luxembourg,2013,0.4532581739770266,0.04674182602297339,0.9065163479540532
Luxembourg,2014,0.384247578156285,0.11575242184371498,0.76849515631257
Luxembourg,2015,0.434237928673556,0.06576207132644402,0.868475857347112
Luxembourg,2016,0.4392182308561674,0.0607817691438326,0.8784364617123348
Luxembourg,2017,0.4698483641062352,0.030151635893764794,0.9396967282124704
Luxembourg,2018,0.4786580496760145,0.021341950323985504,0.957316099352029
Luxembourg,2019,0.43322396059148205,0.06677603940851795,0.8664479211829641
Luxembourg,2020,0.4542475943802973,0.045752405619702674,0.9084951887605947
Luxembourg,2021,0.5059834377758061,0.005983437775806122,0.9880331244483878
Luxembourg,2022,0.43797673437620827,0.062023265623791735,0.8759534687524165
Malta,2013,0.35758708553570895,0.14241291446429105,0.7151741710714179
Malta,2014,0.35872263769396706,0.14127736230603294,0.7174452753879341
Malta,2015,0.36380153672697474,0.13619846327302526,0.7276030734539495
Malta,2016,0.3549203824544106,0.1450796175455894,0.7098407649088212
Malta,2017,0.36949303183150034,0.13050696816849966,0.7389860636630007
Malta,2018,0.38238689718730123,0.11761310281269877,0.7647737943746025
Malta,2019,0.3864272032737233,0.11357279672627668,0.7728544065474466
Malta,2020,0.40829813027368916,0.09170186972631084,0.8165962605473783
Malta,2021,0.40265101353262767,0.09734898646737233,0.8053020270652553
Malta,2022,0.39873715841557905,0.10126284158442095,0.7974743168311581
Netherlands,2013,0.18445623622005025,0.31554376377994975,0.3689124724401005
Netherlands,2014,0.17949880000776908,0.3205011999922309,0.35899760001553815
Netherlands,2015,0.18342970144012594,0.31657029855987406,0.3668594028802519
Netherlands,2016,0.1928140138113904,0.3071859861886096,0.3856280276227808
Netherlands,2017,0.19315460379774282,0.30684539620225715,0.3863092075954857
Netherlands,2018,0.18806384423204686,0.31193615576795314,0.3761276884640937
Netherlands,2019,0.20442429197066084,0.2955757080293392,0.4088485839413216
Netherlands,2020,0.19772940651532817,0.30227059348467183,0.39545881303065633
Netherlands,2021,0.24318216296599404,0.25681783703400596,0.4863643259319881
Netherlands,2022,0.25205427490574706,0.24794572509425294,0.5041085498114941
Poland,2013,0.43818774476054956,0.06181225523945044,0.8763754895210991
Poland,2014,0.44065305378448255,0.05934694621551745,0.8813061075689651
Poland,2015,0.44411066186253756,0.05588933813746244,0.8882213237250751
Poland,2016,0.44616992402296884,0.053830075977031155,0.8923398480459377
Poland,2017,0.4498675800141629,0.05013241998583712,0.8997351600283258
Poland,2018,0.4500357321066665,0.049964267893333525,0.900071464213333
Poland,2019,0.4121537899531026,0.08784621004689741,0.8243075799062052
Poland,2020,0.4409880534906739,0.05901194650932612,0.8819761069813478
Poland,2021,0.4444759059371711,0.05552409406282888,0.8889518118743422
Poland,2022,0.45329331486249,0.04670668513750997,0.90658662972498
Portugal,2013,0.45796541926270035,0.042034580737299654,0.9159308385254007
Portugal,2014,0.4594623862506555,0.0405376137493445,0.918924772501311
Portugal,2015,0.45897870409423486,0.04102129590576514,0.9179574081884697
Portugal,2016,0.4534217280828329,0.046578271917167124,0.9068434561656658
Portugal,2017,0.4488878405603274,0.05111215943967262,0.8977756811206548
Portugal,2018,0.4522411675417334,0.04775883245826662,0.9044823350834668
Portugal,2019,0.4537520385144588,0.04624796148554122,0.9075040770289176
Portugal,2020,0.4467360781067493,0.05326392189325069,0.8934721562134986
Portugal,2021,0.4484791072457512,0.051520892754248815,0.8969582144915024
Portugal,2022,0.45105285311136306,0.04894714688863694,0.9021057062227261
