Country,Year,Sector,percent
Bulgaria,2015,OC4,0.7018954623779438
Bulgaria,2015,OC5,0.5951834862385321
Bulgaria,2015,OC6,0.34985968194574363
Bulgaria,2015,OC7,0.26687847498014294
Bulgaria,2015,OC8,0.2570490008212428
Bulgaria,2015,OC9,0.3771468629512793
Bulgaria,2015,TOTAL,0.4704335490121449
Bulgaria,2016,OC0,0.0
Bulgaria,2016,OC1,0.3777526821005082
Bulgaria,2016,OC2,0.6686954757557315
Bulgaria,2016,OC3,0.47335907335907335
Bulgaria,2016,OC4,0.7203682393555811
Bulgaria,2016,OC5,0.6069419893941829
Bulgaria,2016,OC6,0.357847533632287
Bulgaria,2016,OC7,0.24980422866092403
Bulgaria,2016,OC8,0.2582021872499333
Bulgaria,2016,OC9,0.37068670994192005
Bulgaria,2016,TOTAL,0.46947050132288765
Bulgaria,2017,OC0,0.0
Bulgaria,2017,OC1,0.3857302118171683
Bulgaria,2017,OC2,0.6687293729372937
Bulgaria,2017,OC3,0.45052264808362374
Bulgaria,2017,OC4,0.7259640102827762
Bulgaria,2017,OC5,0.6126519164848863
Bulgaria,2017,OC6,0.33684210526315794
Bulgaria,2017,OC7,0.2525303643724696
Bulgaria,2017,OC8,0.2535562765160968
Bulgaria,2017,OC9,0.37668593448940274
Bulgaria,2017,TOTAL,0.4684240156306918
Bulgaria,2018,OC0,0.0
Bulgaria,2018,OC1,0.36742857142857144
Bulgaria,2018,OC2,0.6411764705882353
Bulgaria,2018,OC3,0.46743801652892564
Bulgaria,2018,OC4,0.7248704663212435
Bulgaria,2018,OC5,0.6332229058211074
Bulgaria,2018,OC6,0.34539473684210525
Bulgaria,2018,OC7,0.2562232838823234
Bulgaria,2018,OC8,0.2409669211195929
Bulgaria,2018,OC9,0.3732372297085553
Bulgaria,2018,TOTAL,0.4682689442844374
Bulgaria,2019,OC0,0.0
Bulgaria,2019,OC1,0.36977886977886976
Bulgaria,2019,OC2,0.6447241045498547
Bulgaria,2019,OC3,0.4780585106382979
Bulgaria,2019,OC4,0.6988922457200404
Bulgaria,2019,OC5,0.6332723391277829
Bulgaria,2019,OC6,0.3417190775681342
Bulgaria,2019,OC7,0.2599554786049963
Bulgaria,2019,OC8,0.23508504696623508
Bulgaria,2019,OC9,0.36784268363215733
Bulgaria,2019,TOTAL,0.46899625371399045
Bulgaria,2020,OC0,0.0
Bulgaria,2020,OC1,0.424188790560472
Bulgaria,2020,OC2,0.6301818181818182
Bulgaria,2020,OC3,0.49450171821305844
Bulgaria,2020,OC4,0.6984953703703703
Bulgaria,2020,OC5,0.6245379334624186
Bulgaria,2020,OC6,0.3125
Bulgaria,2020,OC7,0.2785279322213397
Bulgaria,2020,OC8,0.22868217054263565
Bulgaria,2020,OC9,0.3338033133591823
Bulgaria,2020,TOTAL,0.4663232010990898
Croatia,2013,OC0,0.0
Croatia,2013,OC1,0.26227208976157085
Croatia,2013,OC2,0.6405857740585774
Croatia,2013,OC3,0.4391582799634035
Croatia,2013,OC4,0.6761963952765693
Croatia,2013,OC5,0.6063750926612305
Croatia,2013,OC6,0.35994397759103636
Croatia,2013,OC7,0.08111702127659574
Croatia,2013,OC8,0.24352694191742474
Croatia,2013,OC9,0.5422612513721186
Croatia,2013,TOTAL,0.4648648648648649
Croatia,2014,OC0,0.0
Croatia,2014,OC1,0.1933139534883721
Croatia,2014,OC2,0.6123244929797192
Croatia,2014,OC3,0.4585561497326203
Croatia,2014,OC4,0.6898395721925135
Croatia,2014,OC5,0.5966192854398771
Croatia,2014,OC6,0.35172413793103446
Croatia,2014,OC7,0.08421052631578947
Croatia,2014,OC8,0.24
Croatia,2014,OC9,0.5475409836065573
Croatia,2014,TOTAL,0.44744230637540233
Croatia,2015,OC0,0.0
Croatia,2015,OC1,0.27698863636363635
Croatia,2015,OC2,0.6392572944297082
Croatia,2015,OC3,0.4565022421524664
Croatia,2015,OC4,0.6577134986225895
Croatia,2015,OC5,0.6390444195595372
Croatia,2015,OC6,0.3159851301115242
Croatia,2015,OC7,0.07756813417190776
Croatia,2015,OC8,0.24700914848698102
Croatia,2015,OC9,0.5172043010752688
Croatia,2015,TOTAL,0.45871059976853423
Croatia,2016,OC0,0.0
Croatia,2016,OC1,0.27710843373493976
Croatia,2016,OC2,0.6371000405022277
Croatia,2016,OC3,0.46417305092383954
Croatia,2016,OC4,0.6900853578463558
Croatia,2016,OC5,0.624512929507616
Croatia,2016,OC6,0.26495726495726496
Croatia,2016,OC7,0.08386778490379872
Croatia,2016,OC8,0.2614162806088683
Croatia,2016,OC9,0.48443983402489627
Croatia,2016,TOTAL,0.4568200161420501
Croatia,2017,OC0,0.0
Croatia,2017,OC1,0.29261744966442954
Croatia,2017,OC2,0.6353961371698856
Croatia,2017,OC3,0.4368421052631579
Croatia,2017,OC4,0.6811594202898551
Croatia,2017,OC5,0.605198454513523
Croatia,2017,OC6,0.3170212765957447
Croatia,2017,OC7,0.07912904938927244
Croatia,2017,OC8,0.21549636803874095
Croatia,2017,OC9,0.4991103202846975
Croatia,2017,TOTAL,0.44980544747081713
Croatia,2018,OC0,0.0
Croatia,2018,OC1,0.27648578811369506
Croatia,2018,OC2,0.6083305340947263
Croatia,2018,OC3,0.4652605459057072
Croatia,2018,OC4,0.6544021024967148
Croatia,2018,OC5,0.6013418079096046
Croatia,2018,OC6,0.3697916666666667
Croatia,2018,OC7,0.043046357615894044
Croatia,2018,OC8,0.26666666666666666
Croatia,2018,OC9,0.5157807308970099
Croatia,2018,TOTAL,0.4565494393476045
Croatia,2019,OC0,0.0
Croatia,2019,OC1,0.24417177914110427
Croatia,2019,OC2,0.5708955223880597
Croatia,2019,OC3,0.4572382144347101
Croatia,2019,OC4,0.6504615384615384
Croatia,2019,OC5,0.629204590423427
Croatia,2019,OC6,0.3275862068965517
Croatia,2019,OC7,0.04133118625872249
Croatia,2019,OC8,0.2697283311772316
Croatia,2019,OC9,0.47899778924097275
Croatia,2019,TOTAL,0.442549658299802
Croatia,2020,OC0,0.0
Croatia,2020,OC1,0.28901734104046245
Croatia,2020,OC2,0.5991233985165205
Croatia,2020,OC3,0.4689387402933563
Croatia,2020,OC4,0.6194462330972311
Croatia,2020,OC5,0.6791990192071925
Croatia,2020,OC6,0.28966789667896675
Croatia,2020,OC7,0.06121372031662269
Croatia,2020,OC8,0.24724061810154527
Croatia,2020,OC9,0.4691470054446461
Croatia,2020,TOTAL,0.4476640285933112
Cyprus,2013,OC0,0.0
Cyprus,2013,OC1,0.20454545454545456
Cyprus,2013,OC2,0.5196581196581196
Cyprus,2013,OC3,0.43805309734513276
Cyprus,2013,OC4,0.7514450867052023
Cyprus,2013,OC5,0.5114235500878735
Cyprus,2013,OC6,0.0
Cyprus,2013,OC7,0.051204819277108425
Cyprus,2013,OC8,0.07051282051282053
Cyprus,2013,OC9,0.6976284584980237
Cyprus,2013,TOTAL,0.46586217846935535
Cyprus,2014,OC0,0.13953488372093023
Cyprus,2014,OC1,0.18181818181818182
Cyprus,2014,OC2,0.5457627118644068
Cyprus,2014,OC3,0.4902912621359223
Cyprus,2014,OC4,0.7261904761904762
Cyprus,2014,OC5,0.5478424015009381
Cyprus,2014,OC6,0.19999999999999998
Cyprus,2014,OC7,0.055045871559633024
Cyprus,2014,OC8,0.06557377049180328
Cyprus,2014,OC9,0.6542239685658153
Cyprus,2014,TOTAL,0.47650130548302877
Cyprus,2015,OC0,0.0
Cyprus,2015,OC1,0.2661290322580645
Cyprus,2015,OC2,0.5515463917525774
Cyprus,2015,OC3,0.4403669724770642
Cyprus,2015,OC4,0.7499999999999999
Cyprus,2015,OC5,0.5692883895131086
Cyprus,2015,OC6,0.14545454545454548
Cyprus,2015,OC7,0.052805280528052806
Cyprus,2015,OC8,0.08280254777070065
Cyprus,2015,OC9,0.6519114688128772
Cyprus,2015,TOTAL,0.47797716150081565
Cyprus,2016,OC0,0.0
Cyprus,2016,OC1,0.27272727272727276
Cyprus,2016,OC2,0.5608856088560885
Cyprus,2016,OC3,0.447136563876652
Cyprus,2016,OC4,0.7208672086720868
Cyprus,2016,OC5,0.5572390572390573
Cyprus,2016,OC6,0.13333333333333333
Cyprus,2016,OC7,0.042345276872964174
Cyprus,2016,OC8,0.13664596273291926
Cyprus,2016,OC9,0.6285097192224622
Cyprus,2016,TOTAL,0.4751932989690722
Cyprus,2017,OC0,0.1323529411764706
Cyprus,2017,OC1,0.20437956204379562
Cyprus,2017,OC2,0.5462184873949579
Cyprus,2017,OC3,0.4653679653679653
Cyprus,2017,OC4,0.7616707616707616
Cyprus,2017,OC5,0.560067681895093
Cyprus,2017,OC6,0.0
Cyprus,2017,OC7,0.045584045584045586
Cyprus,2017,OC8,0.14189189189189189
Cyprus,2017,OC9,0.5742358078602621
Cyprus,2017,TOTAL,0.46521605884155687
Cyprus,2018,OC0,0.1797752808988764
Cyprus,2018,OC1,0.16428571428571428
Cyprus,2018,OC2,0.5583203732503889
Cyprus,2018,OC3,0.48283261802575106
Cyprus,2018,OC4,0.7452380952380953
Cyprus,2018,OC5,0.5557324840764332
Cyprus,2018,OC6,0.0
Cyprus,2018,OC7,0.03926701570680628
Cyprus,2018,OC8,0.14044943820224717
Cyprus,2018,OC9,0.5963488843813387
Cyprus,2018,TOTAL,0.4666090961427749
Cyprus,2019,OC0,0.13924050632911392
Cyprus,2019,OC1,0.21118012422360247
Cyprus,2019,OC2,0.5591715976331361
Cyprus,2019,OC3,0.48837209302325585
Cyprus,2019,OC4,0.7346437346437346
Cyprus,2019,OC5,0.5466666666666666
Cyprus,2019,OC6,0.0
Cyprus,2019,OC7,0.03676470588235294
Cyprus,2019,OC8,0.10891089108910892
Cyprus,2019,OC9,0.5967741935483871
Cyprus,2019,TOTAL,0.4577814569536424
Cyprus,2020,OC0,0.16216216216216214
Cyprus,2020,OC1,0.25308641975308643
Cyprus,2020,OC2,0.5816618911174786
Cyprus,2020,OC3,0.47516198704103674
Cyprus,2020,OC4,0.7040572792362769
Cyprus,2020,OC5,0.5566666666666666
Cyprus,2020,OC6,0.24390243902439027
Cyprus,2020,OC7,0.0388768898488121
Cyprus,2020,OC8,0.08407079646017698
Cyprus,2020,OC9,0.6015779092702169
Cyprus,2020,TOTAL,0.45414727621133316
Czech Republic,2013,OC0,0.09248554913294797
Czech Republic,2013,OC1,0.2684839432412248
Czech Republic,2013,OC2,0.5451674036639292
Czech Republic,2013,OC3,0.4063210822458997
Czech Republic,2013,OC4,0.7748483434437704
Czech Republic,2013,OC5,0.6465358675659105
Czech Republic,2013,OC6,0.345718901453958
Czech Republic,2013,OC7,0.09918856727625046
Czech Republic,2013,OC8,0.2397716460513796
Czech Republic,2013,OC9,0.5663196016296966
Czech Republic,2013,TOTAL,0.4135601373067757
Czech Republic,2014,OC0,0.11235955056179775
Czech Republic,2014,OC1,0.269704433497537
Czech Republic,2014,OC2,0.5375939849624061
Czech Republic,2014,OC3,0.4163851351351352
Czech Republic,2014,OC4,0.7710872162485065
Czech Republic,2014,OC5,0.631785283474065
Czech Republic,2014,OC6,0.33148148148148143
Czech Republic,2014,OC7,0.09938981459751232
Czech Republic,2014,OC8,0.25873570520965694
Czech Republic,2014,OC9,0.5727678571428572
Czech Republic,2014,TOTAL,0.4145439516216745
Czech Republic,2015,OC0,0.07894736842105263
Czech Republic,2015,OC1,0.29857637552904964
Czech Republic,2015,OC2,0.547486033519553
Czech Republic,2015,OC3,0.42030784508440916
Czech Republic,2015,OC4,0.7778042959427207
Czech Republic,2015,OC5,0.6268355888281024
Czech Republic,2015,OC6,0.2740619902120718
Czech Republic,2015,OC7,0.10811133675785449
Czech Republic,2015,OC8,0.2581850799820601
Czech Republic,2015,OC9,0.5665796344647519
Czech Republic,2015,TOTAL,0.41984504088009933
Czech Republic,2016,OC0,0.0958904109589041
Czech Republic,2016,OC1,0.2674329501915709
Czech Republic,2016,OC2,0.527423099245502
Czech Republic,2016,OC3,0.43536331331944617
Czech Republic,2016,OC4,0.7805977229601518
Czech Republic,2016,OC5,0.6343901742359326
Czech Republic,2016,OC6,0.3133640552995392
Czech Republic,2016,OC7,0.09907010014306152
Czech Republic,2016,OC8,0.25730650609487443
Czech Republic,2016,OC9,0.617039586919105
Czech Republic,2016,TOTAL,0.42064786762992307
Czech Republic,2017,OC0,0.11585365853658537
Czech Republic,2017,OC1,0.2412336290663287
Czech Republic,2017,OC2,0.5077256317689531
Czech Republic,2017,OC3,0.43287606987923555
Czech Republic,2017,OC4,0.7771084337349398
Czech Republic,2017,OC5,0.6290018832391714
Czech Republic,2017,OC6,0.32465543644716693
Czech Republic,2017,OC7,0.10280932456664674
Czech Republic,2017,OC8,0.2671942446043165
Czech Republic,2017,OC9,0.6032243618450515
Czech Republic,2017,TOTAL,0.4183461174739939
Czech Republic,2018,OC0,0.0
Czech Republic,2018,OC1,0.25459991442019686
Czech Republic,2018,OC2,0.524330900243309
Czech Republic,2018,OC3,0.4307601649970536
Czech Republic,2018,OC4,0.7596968345965225
Czech Republic,2018,OC5,0.6337615191287349
Czech Republic,2018,OC6,0.3652037617554859
Czech Republic,2018,OC7,0.09693999521874253
Czech Republic,2018,OC8,0.28240069585387073
Czech Republic,2018,OC9,0.5584939489018377
Czech Republic,2018,TOTAL,0.42187856772184745
Czech Republic,2019,OC0,0.06962025316455696
Czech Republic,2019,OC1,0.26045454545454544
Czech Republic,2019,OC2,0.5071007502679529
