,Country,Year,Age,Employment Gap in %,Employed Persons in Thousands,IndexValueEmployment
549,Hungary,2012,Y15-29,0.04,643,0.96
550,Hungary,2013,Y15-29,0.06,667,0.94
551,Hungary,2014,Y15-29,0.08,722,0.92
552,Hungary,2015,Y15-29,0.08,746,0.92
553,Hungary,2016,Y15-29,0.09,780,0.91
554,Hungary,2017,Y15-29,0.1,794,0.9
555,Hungary,2018,Y15-29,0.1,793,0.9
556,Hungary,2019,Y15-29,0.09,786,0.91
557,Hungary,2020,Y15-29,0.09,759,0.91
558,Hungary,2021,Y15-29,0.07,754,0.9299999999999999
559,Ireland,2009,Y15-29,-0.03,575,1.03
560,Ireland,2010,Y15-29,-0.04,495,1.04
561,Ireland,2011,Y15-29,-0.03,446,1.03
562,Ireland,2012,Y15-29,-0.04,425,1.04
563,Ireland,2013,Y15-29,-0.02,425,1.02
564,Ireland,2014,Y15-29,0.0,420,1.0
565,Ireland,2015,Y15-29,0.01,430,0.99
566,Ireland,2016,Y15-29,0.0,462,1.0
567,Ireland,2017,Y15-29,0.02,459,0.98
568,Ireland,2018,Y15-29,0.03,470,0.97
569,Ireland,2019,Y15-29,0.03,485,0.97
570,Ireland,2020,Y15-29,0.03,446,0.97
571,Ireland,2021,Y15-29,0.01,502,0.99
572,Italy,2009,Y15-29,0.11,3365,0.89
573,Italy,2010,Y15-29,0.1,3168,0.9
574,Italy,2011,Y15-29,0.1,3087,0.9
575,Italy,2012,Y15-29,0.09,2965,0.91
576,Italy,2013,Y15-29,0.07,2662,0.9299999999999999
577,Italy,2014,Y15-29,0.08,2578,0.92
578,Italy,2015,Y15-29,0.08,2589,0.92
579,Italy,2016,Y15-29,0.09,2685,0.91
580,Italy,2017,Y15-29,0.08,2725,0.92
581,Italy,2018,Y15-29,0.09,2768,0.91
582,Italy,2019,Y15-29,0.09,2849,0.91
583,Italy,2020,Y15-29,0.09,2632,0.91
584,Italy,2021,Y15-29,0.1,2736,0.9
585,Lithuania,2009,Y15-29,0.0,255,1.0
586,Lithuania,2010,Y15-29,-0.01,221,1.01
587,Lithuania,2011,Y15-29,0.03,207,0.97
588,Lithuania,2012,Y15-29,0.02,225,0.98
589,Lithuania,2013,Y15-29,0.06,238,0.94
590,Lithuania,2014,Y15-29,0.08,252,0.92
591,Lithuania,2015,Y15-29,0.06,250,0.94
592,Lithuania,2016,Y15-29,0.06,247,0.94
593,Lithuania,2017,Y15-29,0.06,241,0.94
594,Lithuania,2018,Y15-29,0.05,237,0.95
595,Lithuania,2019,Y15-29,0.03,225,0.97
596,Lithuania,2020,Y15-29,0.04,209,0.96
597,Lithuania,2021,Y15-29,0.05,207,0.95
598,Luxembourg,2009,Y15-29,0.04,41,0.96
599,Luxembourg,2010,Y15-29,0.05,39,0.95
600,Luxembourg,2011,Y15-29,0.05,40,0.95
601,Luxembourg,2012,Y15-29,0.04,41,0.96
602,Luxembourg,2013,Y15-29,0.04,40,0.96
603,Luxembourg,2014,Y15-29,0.01,42,0.99
604,Luxembourg,2015,Y15-29,0.03,51,0.97
605,Luxembourg,2016,Y15-29,0.01,51,0.99
606,Luxembourg,2017,Y15-29,0.02,52,0.98
607,Luxembourg,2018,Y15-29,0.02,55,0.98
608,Luxembourg,2019,Y15-29,0.03,58,0.97
609,Luxembourg,2020,Y15-29,0.0,55,1.0
610,Luxembourg,2021,Y15-29,0.01,59,0.99
611,Latvia,2009,Y15-29,0.05,189,0.95
612,Latvia,2010,Y15-29,0.03,177,0.97
613,Latvia,2011,Y15-29,0.06,175,0.94
614,Latvia,2012,Y15-29,0.07,180,0.9299999999999999
615,Latvia,2013,Y15-29,0.07,182,0.9299999999999999
616,Latvia,2014,Y15-29,0.1,178,0.9
617,Latvia,2015,Y15-29,0.06,178,0.94
618,Latvia,2016,Y15-29,0.04,169,0.96
619,Latvia,2017,Y15-29,0.06,165,0.94
620,Latvia,2018,Y15-29,0.06,155,0.94
621,Latvia,2019,Y15-29,0.05,150,0.95
622,Latvia,2020,Y15-29,0.05,133,0.95
623,Latvia,2021,Y15-29,0.04,125,0.96
624,Malta,2009,Y15-29,0.09,49,0.91
625,Malta,2010,Y15-29,0.08,48,0.92
626,Malta,2011,Y15-29,0.09,49,0.91
627,Malta,2012,Y15-29,0.08,49,0.92
628,Malta,2013,Y15-29,0.06,51,0.94
629,Malta,2014,Y15-29,0.03,53,0.97
630,Malta,2015,Y15-29,0.06,53,0.94
631,Malta,2016,Y15-29,0.06,56,0.94
632,Malta,2017,Y15-29,0.04,59,0.96
633,Malta,2018,Y15-29,0.02,65,0.98
634,Malta,2019,Y15-29,0.04,67,0.96
635,Malta,2020,Y15-29,0.04,64,0.96
636,Malta,2021,Y15-29,0.04,63,0.96
637,Netherlands,2009,Y15-29,0.01,2154,0.99
638,Netherlands,2010,Y15-29,0.0,2096,1.0
639,Netherlands,2011,Y15-29,-0.01,2107,1.01
640,Netherlands,2012,Y15-29,0.0,2119,1.0
641,Netherlands,2013,Y15-29,-0.01,2111,1.01
642,Netherlands,2014,Y15-29,0.01,2087,0.99
643,Netherlands,2015,Y15-29,-0.01,2151,1.01
644,Netherlands,2016,Y15-29,-0.01,2187,1.01
645,Netherlands,2017,Y15-29,-0.01,2249,1.01
646,Netherlands,2018,Y15-29,-0.01,2320,1.01
647,Netherlands,2019,Y15-29,-0.01,2379,1.01
648,Netherlands,2020,Y15-29,-0.01,2324,1.01
649,Netherlands,2021,Y15-29,-0.02,2491,1.02
650,Poland,2009,Y15-29,0.1,3576,0.9
651,Poland,2010,Y15-29,0.1,3384,0.9
652,Poland,2011,Y15-29,0.12,3262,0.88
653,Poland,2012,Y15-29,0.12,3158,0.88
654,Poland,2013,Y15-29,0.11,3025,0.89
655,Poland,2014,Y15-29,0.1,3012,0.9
656,Poland,2015,Y15-29,0.1,2978,0.9
657,Poland,2016,Y15-29,0.11,3083,0.89
658,Poland,2017,Y15-29,0.12,3064,0.88
659,Poland,2018,Y15-29,0.11,3030,0.89
660,Poland,2019,Y15-29,0.12,2964,0.88
661,Poland,2020,Y15-29,0.12,2713,0.88
662,Poland,2021,Y15-29,0.12,2678,0.88
663,Portugal,2009,Y15-29,0.04,866,0.96
664,Portugal,2010,Y15-29,0.04,789,0.96
665,Portugal,2011,Y15-29,0.04,762,0.96
666,Portugal,2012,Y15-29,0.02,678,0.98
667,Portugal,2013,Y15-29,0.02,625,0.98
668,Portugal,2014,Y15-29,0.01,637,0.99
669,Portugal,2015,Y15-29,0.01,645,0.99
670,Portugal,2016,Y15-29,0.01,656,0.99
671,Portugal,2017,Y15-29,0.02,702,0.98
672,Portugal,2018,Y15-29,0.03,723,0.97
673,Portugal,2019,Y15-29,0.03,740,0.97
674,Portugal,2020,Y15-29,0.02,673,0.98
675,Portugal,2021,Y15-29,0.04,662,0.96
676,Romania,2009,Y15-29,0.1,1569,0.9
677,Romania,2010,Y15-29,0.1,1343,0.9
678,Romania,2011,Y15-29,0.1,1322,0.9
679,Romania,2012,Y15-29,0.1,1315,0.9
680,Romania,2013,Y15-29,0.1,1303,0.9
681,Romania,2014,Y15-29,0.11,1322,0.89
682,Romania,2015,Y15-29,0.12,1387,0.88
683,Romania,2016,Y15-29,0.13,1331,0.87
684,Romania,2017,Y15-29,0.1,1341,0.9
685,Romania,2018,Y15-29,0.12,1293,0.88
686,Romania,2019,Y15-29,0.13,1231,0.87
687,Romania,2020,Y15-29,0.13,1182,0.87
688,Romania,2021,Y15-29,0.13,1139,0.87
689,Sweden,2009,Y15-29,0.01,898,0.99
690,Sweden,2010,Y15-29,0.02,911,0.98
691,Sweden,2011,Y15-29,0.03,958,0.97
692,Sweden,2012,Y15-29,0.0,951,1.0
693,Sweden,2013,Y15-29,0.01,981,0.99
694,Sweden,2014,Y15-29,0.0,1007,1.0
695,Sweden,2015,Y15-29,0.0,1037,1.0
696,Sweden,2016,Y15-29,0.0,1058,1.0
697,Sweden,2017,Y15-29,0.0,1085,1.0
698,Sweden,2018,Y15-29,0.0,1090,1.0
699,Sweden,2019,Y15-29,0.0,1078,1.0
700,Sweden,2020,Y15-29,0.01,1007,0.99
701,Sweden,2021,Y15-29,0.01,1004,0.99
702,Slovenia,2009,Y15-29,0.07,199,0.9299999999999999
703,Slovenia,2010,Y15-29,0.05,189,0.95
704,Slovenia,2011,Y15-29,0.06,176,0.94
705,Slovenia,2012,Y15-29,0.05,161,0.95
706,Slovenia,2013,Y15-29,0.06,152,0.94
707,Slovenia,2014,Y15-29,0.09,146,0.91
708,Slovenia,2015,Y15-29,0.09,152,0.91
709,Slovenia,2016,Y15-29,0.08,147,0.92
710,Slovenia,2017,Y15-29,0.09,161,0.91
711,Slovenia,2018,Y15-29,0.07,160,0.9299999999999999
712,Slovenia,2019,Y15-29,0.07,157,0.9299999999999999
713,Slovenia,2020,Y15-29,0.06,143,0.94
714,Slovenia,2021,Y15-29,0.08,137,0.92
715,Slovakia,2009,Y15-29,0.1,522,0.9
716,Slovakia,2010,Y15-29,0.08,486,0.92
717,Slovakia,2011,Y15-29,0.11,457,0.89
718,Slovakia,2012,Y15-29,0.1,453,0.9
719,Slovakia,2013,Y15-29,0.1,442,0.9
720,Slovakia,2014,Y15-29,0.11,446,0.89
721,Slovakia,2015,Y15-29,0.12,465,0.88
722,Slovakia,2016,Y15-29,0.14,470,0.86
723,Slovakia,2017,Y15-29,0.13,466,0.87
724,Slovakia,2018,Y15-29,0.13,459,0.87
725,Slovakia,2019,Y15-29,0.14,437,0.86
726,Slovakia,2020,Y15-29,0.15,404,0.85
727,Slovakia,2021,Y15-29,0.12,375,0.88
728,Austria,2009,Y15-64,0.11,3909,0.89
729,Austria,2010,Y15-64,0.1,3944,0.9
730,Austria,2011,Y15-64,0.1,3982,0.9
731,Austria,2012,Y15-64,0.09,4013,0.91
732,Austria,2013,Y15-64,0.09,4030,0.91
733,Austria,2014,Y15-64,0.08,4034,0.92
734,Austria,2015,Y15-64,0.08,4068,0.92
735,Austria,2016,Y15-64,0.07,4143,0.9299999999999999
736,Austria,2017,Y15-64,0.08,4185,0.92
737,Austria,2018,Y15-64,0.08,4241,0.92
738,Austria,2019,Y15-64,0.09,4280,0.91
739,Austria,2020,Y15-64,0.09,4185,0.91
740,Austria,2021,Y15-64,0.09,4232,0.91
741,Belgium,2009,Y15-64,0.11,4389,0.89
742,Belgium,2010,Y15-64,0.11,4451,0.89
743,Belgium,2011,Y15-64,0.1,4470,0.9
744,Belgium,2012,Y15-64,0.1,4479,0.9
745,Belgium,2013,Y15-64,0.09,4485,0.91
746,Belgium,2014,Y15-64,0.08,4497,0.92
747,Belgium,2015,Y15-64,0.08,4499,0.92
748,Belgium,2016,Y15-64,0.08,4541,0.92
749,Belgium,2017,Y15-64,0.09,4587,0.91
750,Belgium,2018,Y15-64,0.07,4699,0.9299999999999999
751,Belgium,2019,Y15-64,0.07,4771,0.9299999999999999
752,Belgium,2020,Y15-64,0.07,4720,0.9299999999999999
753,Belgium,2021,Y15-64,0.07,4795,0.9299999999999999
754,Bulgaria,2009,Y15-64,0.09,3156,0.91
755,Bulgaria,2010,Y15-64,0.07,2991,0.9299999999999999
756,Bulgaria,2011,Y15-64,0.05,2885,0.95
757,Bulgaria,2012,Y15-64,0.05,2854,0.95
758,Bulgaria,2013,Y15-64,0.05,2849,0.95
759,Bulgaria,2014,Y15-64,0.06,2887,0.94
760,Bulgaria,2015,Y15-64,0.06,2934,0.94
761,Bulgaria,2016,Y15-64,0.07,2915,0.9299999999999999
762,Bulgaria,2017,Y15-64,0.08,3032,0.92
763,Bulgaria,2018,Y15-64,0.08,3029,0.92
764,Bulgaria,2019,Y15-64,0.08,3095,0.92
765,Bulgaria,2020,Y15-64,0.08,2985,0.92
766,Bulgaria,2021,Y15-64,0.08,2987,0.92
767,Cyprus,2009,Y15-64,0.14,371,0.86
768,Cyprus,2010,Y15-64,0.12,382,0.88
769,Cyprus,2011,Y15-64,0.12,386,0.88
770,Cyprus,2012,Y15-64,0.11,375,0.89
771,Cyprus,2013,Y15-64,0.1,357,0.9
772,Cyprus,2014,Y15-64,0.07,355,0.9299999999999999
773,Cyprus,2015,Y15-64,0.08,350,0.92
774,Cyprus,2016,Y15-64,0.1,354,0.9
775,Cyprus,2017,Y15-64,0.09,370,0.91
776,Cyprus,2018,Y15-64,0.09,390,0.91
777,Cyprus,2019,Y15-64,0.11,403,0.89
778,Cyprus,2020,Y15-64,0.12,405,0.88
779,Cyprus,2021,Y15-64,0.12,417,0.88
780,Czech Republic,2009,Y15-64,0.17,4857,0.83
781,Czech Republic,2010,Y15-64,0.18,4810,0.8200000000000001
782,Czech Republic,2011,Y15-64,0.17,4796,0.83
783,Czech Republic,2012,Y15-64,0.17,4810,0.83
784,Czech Republic,2013,Y15-64,0.16,4846,0.84
785,Czech Republic,2014,Y15-64,0.16,4883,0.84
786,Czech Republic,2015,Y15-64,0.16,4934,0.84
787,Czech Republic,2016,Y15-64,0.15,5016,0.85
788,Czech Republic,2017,Y15-64,0.15,5094,0.85
789,Czech Republic,2018,Y15-64,0.14,5147,0.86
790,Czech Republic,2019,Y15-64,0.14,5151,0.86
791,Czech Republic,2020,Y15-64,0.14,5087,0.86
792,Czech Republic,2021,Y15-64,0.14,5066,0.86
793,Germany,2009,Y15-64,0.1,37309,0.9
794,Germany,2010,Y15-64,0.1,36845,0.9
795,Germany,2011,Y15-64,0.1,37543,0.9
796,Germany,2012,Y15-64,0.1,37814,0.9
797,Germany,2013,Y15-64,0.09,38129,0.91
798,Germany,2014,Y15-64,0.08,38393,0.92
799,Germany,2015,Y15-64,0.08,38657,0.92
800,Germany,2016,Y15-64,0.07,39633,0.9299999999999999
801,Germany,2017,Y15-64,0.07,39945,0.9299999999999999
802,Germany,2018,Y15-64,0.08,40096,0.92
803,Germany,2019,Y15-64,0.07,40520,0.9299999999999999
804,Germany,2020,Y15-64,0.07,39621,0.9299999999999999
805,Germany,2021,Y15-64,0.07,40154,0.9299999999999999
806,Denmark,2009,Y15-64,0.05,2658,0.95
807,Denmark,2010,Y15-64,0.04,2599,0.96
808,Denmark,2011,Y15-64,0.05,2588,0.95
809,Denmark,2012,Y15-64,0.06,2565,0.94
810,Denmark,2013,Y15-64,0.05,2557,0.95
811,Denmark,2014,Y15-64,0.06,2579,0.94
812,Denmark,2015,Y15-64,0.06,2623,0.94
813,Denmark,2016,Y15-64,0.06,2668,0.94
814,Denmark,2017,Y15-64,0.06,2698,0.94
815,Denmark,2018,Y15-64,0.06,2739,0.94
816,Denmark,2019,Y15-64,0.06,2779,0.94
817,Denmark,2020,Y15-64,0.06,2753,0.94
818,Denmark,2021,Y15-64,0.05,2787,0.95
819,Estonia,2009,Y15-64,0.0,577,1.0
820,Estonia,2010,Y15-64,0.0,555,1.0
821,Estonia,2011,Y15-64,0.04,585,0.96
822,Estonia,2012,Y15-64,0.04,598,0.96
823,Estonia,2013,Y15-64,0.04,603,0.96
824,Estonia,2014,Y15-64,0.05,605,0.95
825,Estonia,2015,Y15-64,0.06,611,0.94
826,Estonia,2016,Y15-64,0.05,612,0.95
827,Estonia,2017,Y15-64,0.05,625,0.95
828,Estonia,2018,Y15-64,0.06,627,0.94
829,Estonia,2019,Y15-64,0.05,632,0.95
830,Estonia,2020,Y15-64,0.04,618,0.96
831,Estonia,2021,Y15-64,0.04,616,0.96
832,Greece,2009,Y15-64,0.25,4459,0.75
833,Greece,2010,Y15-64,0.23,4289,0.77
834,Greece,2011,Y15-64,0.21,3963,0.79
835,Greece,2012,Y15-64,0.19,3608,0.81
836,Greece,2013,Y15-64,0.18,3438,0.8200000000000001
837,Greece,2014,Y15-64,0.17,3466,0.83
838,Greece,2015,Y15-64,0.18,3543,0.8200000000000001
839,Greece,2016,Y15-64,0.18,3591,0.8200000000000001
840,Greece,2017,Y15-64,0.19,3663,0.81
841,Greece,2018,Y15-64,0.2,3724,0.8
842,Greece,2019,Y15-64,0.19,3800,0.81
843,Greece,2020,Y15-64,0.18,3607,0.8200000000000001
844,Greece,2021,Y15-64,0.18,3823,0.8200000000000001
845,Spain,2009,Y15-64,0.13,18957,0.87
846,Spain,2010,Y15-64,0.12,18574,0.88
847,Spain,2011,Y15-64,0.1,18271,0.9
848,Spain,2012,Y15-64,0.09,17477,0.91
849,Spain,2013,Y15-64,0.09,17002,0.91
850,Spain,2014,Y15-64,0.1,17211,0.9
851,Spain,2015,Y15-64,0.1,17717,0.9
852,Spain,2016,Y15-64,0.11,18183,0.89
853,Spain,2017,Y15-64,0.1,18649,0.9
854,Spain,2018,Y15-64,0.11,19136,0.89
855,Spain,2019,Y15-64,0.11,19568,0.89
856,Spain,2020,Y15-64,0.1,18958,0.9
857,Spain,2021,Y15-64,0.1,19493,0.9
871,Finland,2009,Y15-64,0.02,2394,0.98
872,Finland,2010,Y15-64,0.02,2375,0.98
873,Finland,2011,Y15-64,0.04,2394,0.96
874,Finland,2012,Y15-64,0.03,2399,0.97
875,Finland,2013,Y15-64,0.02,2375,0.98
876,Finland,2014,Y15-64,0.02,2359,0.98
877,Finland,2015,Y15-64,0.01,2334,0.99
878,Finland,2016,Y15-64,0.03,2350,0.97
879,Finland,2017,Y15-64,0.03,2372,0.97
880,Finland,2018,Y15-64,0.02,2433,0.98
881,Finland,2019,Y15-64,0.02,2455,0.98
882,Finland,2020,Y15-64,0.03,2420,0.97
883,Finland,2021,Y15-64,0.02,2470,0.98
884,France,2009,Y15-64,0.07,26289,0.9299999999999999
885,France,2010,Y15-64,0.07,26338,0.9299999999999999
886,France,2011,Y15-64,0.07,26327,0.9299999999999999
887,France,2012,Y15-64,0.07,26335,0.9299999999999999
888,France,2013,Y15-64,0.07,26311,0.9299999999999999
889,France,2014,Y15-64,0.05,26326,0.95
890,France,2015,Y15-64,0.05,26348,0.95
891,France,2016,Y15-64,0.06,26443,0.94
892,France,2017,Y15-64,0.06,26655,0.94
893,France,2018,Y15-64,0.06,26886,0.94
894,France,2019,Y15-64,0.05,26964,0.95
895,France,2020,Y15-64,0.05,26832,0.95
896,France,2021,Y15-64,0.06,27274,0.94
897,Croatia,2009,Y15-64,0.11,1708,0.89
898,Croatia,2010,Y15-64,0.11,1649,0.89
899,Croatia,2011,Y15-64,0.11,1584,0.89
900,Croatia,2012,Y15-64,0.1,1528,0.9
901,Croatia,2013,Y15-64,0.08,1494,0.92
902,Croatia,2014,Y15-64,0.09,1542,0.91
903,Croatia,2015,Y15-64,0.08,1559,0.92
904,Croatia,2016,Y15-64,0.09,1567,0.91
905,Croatia,2017,Y15-64,0.1,1603,0.9
906,Croatia,2018,Y15-64,0.09,1630,0.91
907,Croatia,2019,Y15-64,0.1,1650,0.9
908,Croatia,2020,Y15-64,0.1,1630,0.9
909,Croatia,2021,Y15-64,0.09,1649,0.91
910,Hungary,2009,Y15-64,0.07,3864,0.9299999999999999
911,Hungary,2010,Y15-64,0.06,3843,0.94
912,Hungary,2011,Y15-64,0.06,3868,0.94
913,Hungary,2012,Y15-64,0.06,3924,0.94
914,Hungary,2013,Y15-64,0.07,3997,0.9299999999999999
915,Hungary,2014,Y15-64,0.08,4192,0.92
916,Hungary,2015,Y15-64,0.08,4300,0.92
917,Hungary,2016,Y15-64,0.09,4440,0.91
918,Hungary,2017,Y15-64,0.1,4500,0.9
919,Hungary,2018,Y15-64,0.09,4548,0.91
920,Hungary,2019,Y15-64,0.1,4568,0.9
921,Hungary,2020,Y15-64,0.1,4519,0.9
922,Hungary,2021,Y15-64,0.1,4535,0.9
923,Ireland,2009,Y15-64,0.09,1970,0.91
924,Ireland,2010,Y15-64,0.08,1878,0.92
925,Ireland,2011,Y15-64,0.08,1839,0.92
926,Ireland,2012,Y15-64,0.08,1830,0.92
927,Ireland,2013,Y15-64,0.09,1885,0.91
928,Ireland,2014,Y15-64,0.1,1933,0.9
929,Ireland,2015,Y15-64,0.11,1993,0.89
930,Ireland,2016,Y15-64,0.11,2065,0.89
931,Ireland,2017,Y15-64,0.11,2123,0.89
932,Ireland,2018,Y15-64,0.11,2175,0.89
933,Ireland,2019,Y15-64,0.11,2235,0.89
934,Ireland,2020,Y15-64,0.11,2165,0.89
935,Ireland,2021,Y15-64,0.08,2289,0.92
936,Italy,2009,Y15-64,0.22,22147,0.78
937,Italy,2010,Y15-64,0.21,21961,0.79
938,Italy,2011,Y15-64,0.21,22037,0.79
939,Italy,2012,Y15-64,0.19,21891,0.81
940,Italy,2013,Y15-64,0.18,21420,0.8200000000000001
941,Italy,2014,Y15-64,0.17,21458,0.83
942,Italy,2015,Y15-64,0.18,21634,0.8200000000000001
943,Italy,2016,Y15-64,0.18,21938,0.8200000000000001
944,Italy,2017,Y15-64,0.18,22161,0.8200000000000001
945,Italy,2018,Y15-64,0.18,22333,0.8200000000000001
946,Italy,2019,Y15-64,0.18,22443,0.8200000000000001
947,Italy,2020,Y15-64,0.19,21721,0.81
948,Italy,2021,Y15-64,0.18,21849,0.8200000000000001
949,Lithuania,2009,Y15-64,-0.01,1290,1.01
950,Lithuania,2010,Y15-64,-0.02,1224,1.02
951,Lithuania,2011,Y15-64,0.0,1226,1.0
952,Lithuania,2012,Y15-64,0.0,1244,1.0
953,Lithuania,2013,Y15-64,0.02,1264,0.98
954,Lithuania,2014,Y15-64,0.01,1288,0.99
955,Lithuania,2015,Y15-64,0.02,1301,0.98
956,Lithuania,2016,Y15-64,0.01,1318,0.99
957,Lithuania,2017,Y15-64,0.01,1306,0.99
958,Lithuania,2018,Y15-64,0.01,1324,0.99
959,Lithuania,2019,Y15-64,0.02,1324,0.98
960,Lithuania,2020,Y15-64,0.01,1298,0.99
961,Lithuania,2021,Y15-64,0.01,1310,0.99
962,Luxembourg,2009,Y15-64,0.16,215,0.84
963,Luxembourg,2010,Y15-64,0.16,219,0.84
964,Luxembourg,2011,Y15-64,0.15,222,0.85
965,Luxembourg,2012,Y15-64,0.13,234,0.87
966,Luxembourg,2013,Y15-64,0.13,236,0.87
967,Luxembourg,2014,Y15-64,0.13,243,0.87
968,Luxembourg,2015,Y15-64,0.1,255,0.9
969,Luxembourg,2016,Y15-64,0.1,259,0.9
970,Luxembourg,2017,Y15-64,0.08,270,0.92
971,Luxembourg,2018,Y15-64,0.08,278,0.92
972,Luxembourg,2019,Y15-64,0.08,287,0.92
973,Luxembourg,2020,Y15-64,0.06,290,0.94
974,Luxembourg,2021,Y15-64,0.07,303,0.9299999999999999
975,Latvia,2009,Y15-64,0.0,872,1.0
976,Latvia,2010,Y15-64,-0.01,825,1.01
977,Latvia,2011,Y15-64,0.01,837,0.99
978,Latvia,2012,Y15-64,0.02,849,0.98
979,Latvia,2013,Y15-64,0.04,864,0.96
980,Latvia,2014,Y15-64,0.04,857,0.96
981,Latvia,2015,Y15-64,0.04,867,0.96
982,Latvia,2016,Y15-64,0.03,860,0.97
983,Latvia,2017,Y15-64,0.04,861,0.96
984,Latvia,2018,Y15-64,0.04,872,0.96
985,Latvia,2019,Y15-64,0.03,870,0.97
986,Latvia,2020,Y15-64,0.03,850,0.97
987,Latvia,2021,Y15-64,0.04,822,0.96
988,Malta,2009,Y15-64,0.34,158,0.6599999999999999
989,Malta,2010,Y15-64,0.32,160,0.6799999999999999
990,Malta,2011,Y15-64,0.32,164,0.6799999999999999
991,Malta,2012,Y15-64,0.29,171,0.71
992,Malta,2013,Y15-64,0.26,179,0.74
993,Malta,2014,Y15-64,0.24,187,0.76
994,Malta,2015,Y15-64,0.25,194,0.75
995,Malta,2016,Y15-64,0.24,205,0.76
996,Malta,2017,Y15-64,0.22,217,0.78
997,Malta,2018,Y15-64,0.2,234,0.8
998,Malta,2019,Y15-64,0.19,249,0.81
999,Malta,2020,Y15-64,0.17,256,0.83
1000,Malta,2021,Y15-64,0.16,263,0.84
1001,Netherlands,2009,Y15-64,0.12,8388,0.88
1002,Netherlands,2010,Y15-64,0.11,8313,0.89
1003,Netherlands,2011,Y15-64,0.1,8320,0.9
1004,Netherlands,2012,Y15-64,0.09,8342,0.91
1005,Netherlands,2013,Y15-64,0.08,8272,0.92
1006,Netherlands,2014,Y15-64,0.09,8196,0.91
1007,Netherlands,2015,Y15-64,0.09,8283,0.91
1008,Netherlands,2016,Y15-64,0.09,8391,0.91
1009,Netherlands,2017,Y15-64,0.09,8544,0.91
1010,Netherlands,2018,Y15-64,0.08,8711,0.92
1011,Netherlands,2019,Y15-64,0.08,8857,0.92
1012,Netherlands,2020,Y15-64,0.07,8849,0.9299999999999999
1013,Netherlands,2021,Y15-64,0.07,8975,0.9299999999999999
1014,Poland,2009,Y15-64,0.13,15059,0.87
1015,Poland,2010,Y15-64,0.12,14729,0.88
1016,Poland,2011,Y15-64,0.13,14834,0.87
1017,Poland,2012,Y15-64,0.12,14911,0.88
1018,Poland,2013,Y15-64,0.13,14909,0.87
1019,Poland,2014,Y15-64,0.12,15222,0.88
1020,Poland,2015,Y15-64,0.12,15479,0.88
1021,Poland,2016,Y15-64,0.13,15646,0.87
1022,Poland,2017,Y15-64,0.13,15872,0.87
1023,Poland,2018,Y15-64,0.13,15955,0.87
1024,Poland,2019,Y15-64,0.13,15935,0.87
1025,Poland,2020,Y15-64,0.14,15853,0.86
1026,Poland,2021,Y15-64,0.13,16237,0.87
1027,Portugal,2009,Y15-64,0.1,4427,0.9
1028,Portugal,2010,Y15-64,0.09,4365,0.91
1029,Portugal,2011,Y15-64,0.08,4315,0.92
1030,Portugal,2012,Y15-64,0.06,4112,0.94
1031,Portugal,2013,Y15-64,0.06,4034,0.94
1032,Portugal,2014,Y15-64,0.06,4158,0.94
1033,Portugal,2015,Y15-64,0.06,4233,0.94
1034,Portugal,2016,Y15-64,0.05,4303,0.95
1035,Portugal,2017,Y15-64,0.06,4459,0.94
1036,Portugal,2018,Y15-64,0.06,4572,0.94
1037,Portugal,2019,Y15-64,0.06,4612,0.94
1038,Portugal,2020,Y15-64,0.05,4525,0.95
1039,Portugal,2021,Y15-64,0.05,4623,0.95
1040,Romania,2009,Y15-64,0.15,7435,0.85
1041,Romania,2010,Y15-64,0.16,7189,0.84
1042,Romania,2011,Y15-64,0.16,7117,0.84
1043,Romania,2012,Y15-64,0.15,7178,0.85
1044,Romania,2013,Y15-64,0.15,7159,0.85
1045,Romania,2014,Y15-64,0.16,7260,0.84
1046,Romania,2015,Y15-64,0.16,7352,0.84
1047,Romania,2016,Y15-64,0.16,7400,0.84
1048,Romania,2017,Y15-64,0.16,7596,0.84
1049,Romania,2018,Y15-64,0.18,7635,0.8200000000000001
1050,Romania,2019,Y15-64,0.18,7691,0.8200000000000001
1051,Romania,2020,Y15-64,0.18,7592,0.8200000000000001
1052,Romania,2021,Y15-64,0.19,7668,0.81
1053,Sweden,2009,Y15-64,0.04,4342,0.96
1054,Sweden,2010,Y15-64,0.05,4354,0.95
1055,Sweden,2011,Y15-64,0.05,4449,0.95
1056,Sweden,2012,Y15-64,0.04,4460,0.96
1057,Sweden,2013,Y15-64,0.04,4505,0.96
1058,Sweden,2014,Y15-64,0.04,4548,0.96
1059,Sweden,2015,Y15-64,0.04,4609,0.96
1060,Sweden,2016,Y15-64,0.03,4685,0.97
1061,Sweden,2017,Y15-64,0.03,4781,0.97
1062,Sweden,2018,Y15-64,0.03,4857,0.97
1063,Sweden,2019,Y15-64,0.03,4885,0.97
1064,Sweden,2020,Y15-64,0.04,4805,0.96
1065,Sweden,2021,Y15-64,0.04,4853,0.96
1066,Slovenia,2009,Y15-64,0.06,948,0.94
1067,Slovenia,2010,Y15-64,0.07,932,0.9299999999999999
1068,Slovenia,2011,Y15-64,0.07,907,0.9299999999999999
1069,Slovenia,2012,Y15-64,0.07,899,0.9299999999999999
1070,Slovenia,2013,Y15-64,0.07,881,0.9299999999999999
1071,Slovenia,2014,Y15-64,0.07,886,0.9299999999999999
