,Country,Year,IndexValueViolence,IndexValueCare,IndexValueEcoSector,IndexValueEmployment,IndexValuePay,IndexValueDecisionMakers,IndexValuePension,IndexTotal
16,Bulgaria,2013,0.9696027260188764,0.0,0.9358250565908448,0.95,0.8842380952380953,0.46,0.6990000000000001,0.7910781487328258
17,Bulgaria,2014,0.9704681288368444,0.922,0.9163579543824032,0.94,0.8863333333333334,0.5,0.759,0.8246029174005189
18,Bulgaria,2015,0.9675473943262028,0.0,0.9067708987417396,0.94,0.8868095238095237,0.4,0.725,0.7722436340595964
19,Bulgaria,2016,0.9605700841063364,0.95,0.9074795821000312,0.93,0.898047619047619,0.4,0.753,0.7992364057297359
20,Bulgaria,2017,0.9692511561240772,0.985,0.9029361867215278,0.92,0.8988095238095238,0.38,0.7509999999999999,0.7965283443929991
21,Bulgaria,2018,0.9710090055980743,0.971,0.8999908004979245,0.92,0.908952380952381,0.52,0.754,0.8329641596103889
22,Bulgaria,2019,0.970278821970414,0.89,0.8954063014636375,0.92,0.8985714285714286,0.52,0.7909999999999999,0.8262626810862619
23,Bulgaria,2020,0.9726586797198258,0.0,0.8945375659802877,0.92,0.9064285714285714,0.54,0.804,0.8248754508400187
24,Croatia,2013,0.929740108716229,0.733,0.8558748497507839,0.92,0.9011428571428572,0.52,0.777,0.7919492962205946
25,Croatia,2014,0.9326878870649322,0.745,0.8386953559303296,0.91,0.9164285714285714,0.48,0.8220000000000001,0.7898337768935458
26,Croatia,2015,0.9292262757930606,0.747,0.8505050677719155,0.92,0.0,0.52,0.79,0.7787944990933914
27,Croatia,2016,0.9185439597587688,0.7609999999999999,0.8417024393355127,0.91,0.9153809523809524,0.3,0.802,0.7368326602833383
28,Croatia,2017,0.941477134434919,0.773,0.835993462490957,0.9,0.8946190476190476,0.36,0.8,0.7559534291206579
29,Croatia,2018,0.9380966546772318,0.7490000000000001,0.8446902667481522,0.91,0.897,0.38,0.775,0.7571680674738572
30,Croatia,2019,0.8998296238202126,0.7979999999999999,0.8154700352049596,0.9,0.8914285714285713,0.4,0.8109999999999999,0.764333707946608
31,Croatia,2020,0.9292262757930606,0.7959999999999999,0.8273319939325652,0.9,0.890952380952381,0.36,0.767,0.7516004538887918
32,Cyprus,2013,0.9945641885496388,0.6970000000000001,0.8111178516574338,0.9,0.7920476190476191,0.22,0.484,0.6372589069242471
33,Cyprus,2014,0.9907510073829678,0.6509999999999999,0.7212567055696214,0.93,0.8057142857142857,0.28,0.484,0.6465687090514424
34,Cyprus,2015,0.9962679503475134,0.657,0.7800676952371091,0.92,0.8162380952380953,0.24,0.531,0.6496987615086895
35,Cyprus,2016,0.9906698758687832,0.6,0.7777088896739636,0.9,0.8343333333333334,0.24,0.524,0.6393187105316388
36,Cyprus,2017,0.0,0.635,0.762615365530054,0.91,0.8469047619047619,0.36,0.643,0.664882322360604
37,Cyprus,2018,0.988966114070909,0.768,0.7693888675701447,0.91,0.858,0.36,0.6659999999999999,0.7289763182499971
38,Cyprus,2019,0.981907672336858,0.738,0.7603832251198575,0.89,0.8579523809523809,0.36,0.6459999999999999,0.717451480262056
39,Cyprus,2020,0.9928604267517648,0.795,0.7402448881160607,0.88,0.8656666666666666,0.4,0.67,0.7380496153801628
40,Czech Republic,2013,0.9319306595992104,0.0,0.7969681811409935,0.84,0.8104761904761905,0.4,0.8740000000000001,0.7491508194610751
41,Czech Republic,2014,0.9344457365389296,0.0,0.8002580924621912,0.84,0.8103333333333333,0.38,0.8640000000000001,0.7421711731206866
42,Czech Republic,2015,0.935230007842713,0.6890000000000001,0.7913791097483251,0.84,0.8101428571428572,0.4,0.86,0.7381279544311494
43,Czech Republic,2016,0.9374205587256944,0.612,0.8055755838736175,0.85,0.814952380952381,0.4,0.858,0.7294312672413272
44,Czech Republic,2017,0.9443708251074991,0.691,0.8003365347376791,0.85,0.8127142857142857,0.4,0.8540000000000001,0.7414975232510951
45,Czech Republic,2018,0.0,0.0,0.8680417189146118,0.86,0.8187142857142856,0.42,0.847,0.7369886910425412
46,Czech Republic,2019,0.929415582659491,0.591,0.7979157592534007,0.86,0.8275238095238094,0.42,0.851,0.7309496585821117
47,Czech Republic,2020,0.9341482543202532,0.654,0.7948749404532338,0.86,0.8382380952380953,0.4,0.85,0.7378161553960119
48,Denmark,2013,0.8518268112610542,0.903,0.706236974815675,0.95,0.8688571428571429,0.8,0.841,0.8426546829718565
49,Denmark,2014,0.8079617059253049,0.915,0.7135581371506081,0.94,0.8692857142857143,0.76,0.818,0.8285138819535952
50,Denmark,2015,0.7981718365470427,0.0,0.7029085398006565,0.94,0.8794761904761904,0.76,0.865,0.8204072253243131
51,Denmark,2016,0.7219623008897423,0.919,0.6860127386672796,0.94,0.8777142857142857,0.74,0.932,0.8244881331762042
52,Denmark,2017,0.6935662709251696,0.926,0.6972171178070644,0.94,0.8803333333333333,0.74,0.96,0.8264034756577694
53,Denmark,2018,0.653920004327014,0.912,0.7208699536974481,0.94,0.8845714285714286,0.74,0.962,0.8224168339493219
54,Denmark,2019,0.6156259296319334,0.915,0.7213330731093561,0.94,0.8913809523809525,0.74,0.933,0.8131456521651528
55,Denmark,2020,0.6115963977607701,0.924,0.7070104154370453,0.94,0.8926666666666666,0.78,0.954,0.8200879058595346
