Country,Year,average % pay gap,Index
France,2016,13.357142857142858,0.8664285714285714
France,2017,13.347619047619048,0.8665238095238095
France,2018,13.347619047619048,0.8665238095238095
France,2019,12.91904761904762,0.8708095238095238
France,2020,12.495238095238097,0.8750476190476191
Germany,2009,20.410526315789475,0.7958947368421053
Germany,2010,19.438095238095244,0.8056190476190476
Germany,2011,19.376190476190477,0.8062380952380953
Germany,2012,19.185714285714287,0.8081428571428572
Germany,2013,18.64761904761905,0.8135238095238095
Germany,2014,18.599999999999998,0.8140000000000001
Germany,2015,18.038095238095238,0.8196190476190476
Germany,2016,17.52857142857143,0.8247142857142857
Germany,2017,17.176190476190477,0.8282380952380953
Germany,2018,17.071428571428573,0.8292857142857143
Germany,2019,16.77619047619048,0.8322380952380952
Germany,2020,16.30952380952381,0.8369047619047619
Greece,2009,0.0,0.0
Greece,2010,15.828571428571427,0.8417142857142857
Greece,2011,0.0,0.0
Greece,2012,0.0,0.0
Greece,2013,0.0,0.0
Greece,2014,13.15263157894737,0.8684736842105264
Greece,2015,0.0,0.0
Greece,2016,0.0,0.0
Greece,2017,0.0,0.0
Greece,2018,12.380952380952381,0.8761904761904762
Greece,2019,0.0,0.0
Greece,2020,0.0,0.0
Hungary,2009,12.057142857142859,0.8794285714285713
Hungary,2010,12.214285714285714,0.8778571428571429
Hungary,2011,11.457142857142859,0.8854285714285715
Hungary,2012,11.861904761904762,0.8813809523809524
Hungary,2013,11.776190476190475,0.8822380952380953
Hungary,2014,10.566666666666666,0.8943333333333334
Hungary,2015,10.665,0.8933500000000001
Hungary,2016,11.59047619047619,0.884095238095238
Hungary,2017,14.780952380952376,0.8521904761904763
Hungary,2018,13.638095238095238,0.8636190476190477
Hungary,2019,13.295238095238094,0.8670476190476191
Hungary,2020,12.79047619047619,0.8720952380952381
Ireland,2009,18.16875,0.8183125
Ireland,2010,18.0,0.82
Ireland,2011,18.77142857142857,0.8122857142857143
Ireland,2012,17.123076923076926,0.8287692307692308
Ireland,2013,17.599999999999998,0.8240000000000001
Ireland,2014,18.0,0.82
Ireland,2015,16.96666666666667,0.8303333333333334
Ireland,2016,16.900000000000002,0.831
Ireland,2017,17.166666666666668,0.8283333333333333
Ireland,2018,13.319047619047618,0.8668095238095238
Ireland,2019,0.0,0.0
Ireland,2020,0.0,0.0
Italy,2009,10.8,0.892
Italy,2010,12.721052631578948,0.8727894736842106
Italy,2011,15.833333333333334,0.8416666666666667
Italy,2012,16.237499999999997,0.8376250000000001
Italy,2013,17.54444444444444,0.8245555555555556
Italy,2014,16.323809523809523,0.8367619047619047
Italy,2015,16.425,0.83575
Italy,2016,14.975,0.8502500000000001
Italy,2017,14.683333333333332,0.8531666666666666
Italy,2018,12.0,0.88
Italy,2019,13.80952380952381,0.861904761904762
Italy,2020,13.671428571428569,0.8632857142857143
Latvia,2009,15.149999999999999,0.8484999999999999
Latvia,2010,15.45714285714286,0.8454285714285714
Latvia,2011,14.175,0.8582500000000001
Latvia,2012,14.545000000000002,0.85455
Latvia,2013,14.454999999999998,0.85545
Latvia,2014,15.180000000000001,0.8482
Latvia,2015,15.390476190476193,0.8460952380952381
Latvia,2016,16.799999999999997,0.8320000000000001
Latvia,2017,17.157142857142855,0.8284285714285714
Latvia,2018,16.285714285714285,0.8371428571428572
Latvia,2019,19.714285714285715,0.8028571428571428
Latvia,2020,21.366666666666664,0.7863333333333334
Lithuania,2009,17.861904761904764,0.8213809523809523
Lithuania,2010,15.042857142857141,0.8495714285714285
Lithuania,2011,14.328571428571431,0.8567142857142857
Lithuania,2012,14.44761904761905,0.8555238095238096
Lithuania,2013,14.371428571428572,0.8562857142857143
Lithuania,2014,15.066666666666666,0.8493333333333334
Lithuania,2015,15.319047619047618,0.8468095238095238
Lithuania,2016,14.980952380952383,0.8501904761904762
Lithuania,2017,13.871428571428572,0.8612857142857143
Lithuania,2018,13.48095238095238,0.8651904761904763
Lithuania,2019,13.614285714285714,0.8638571428571429
Lithuania,2020,13.295238095238094,0.8670476190476191
Luxembourg,2009,13.233333333333333,0.8676666666666667
Luxembourg,2010,11.384210526315789,0.8861578947368421
Luxembourg,2011,12.283333333333333,0.8771666666666667
Luxembourg,2012,12.261111111111113,0.8773888888888888
Luxembourg,2013,12.183333333333334,0.8781666666666667
Luxembourg,2014,12.273684210526316,0.8772631578947369
Luxembourg,2015,12.189473684210526,0.8781052631578947
Luxembourg,2016,11.973684210526317,0.8802631578947369
Luxembourg,2017,10.195,0.89805
Luxembourg,2018,8.784210526315789,0.9121578947368421
Luxembourg,2019,8.231578947368419,0.9176842105263158
Luxembourg,2020,7.863157894736842,0.9213684210526316
Malta,2009,14.389473684210525,0.8561052631578947
Malta,2010,14.826315789473684,0.8517368421052631
