DATAFLOW,LAST UPDATE,freq,unit,sex,age,isco08,worktime,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2019-Q2,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2019-Q3,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2019-Q4,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2020-Q1,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2020-Q2,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2020-Q3,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2020-Q4,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2021-Q1,,bu
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2021-Q2,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2021-Q3,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2021-Q4,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2022-Q1,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2022-Q2,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CY,2013-Q1,0.5,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CY,2013-Q2,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CY,2013-Q3,0.6,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CY,2013-Q4,0.5,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CY,2014-Q1,0.5,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CY,2014-Q2,0.6,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CY,2014-Q3,0.9,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CY,2014-Q4,0.7,u
