DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,EE,2018,29.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,EE,2019,27.3,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,EE,2020,26.7,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,EL,2010,34.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,EL,2014,-2.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,EL,2018,5.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2009,12.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2010,12.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2011,14.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2012,15.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2013,10.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2014,-9.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2015,-12.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2016,-4.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2017,-8.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2018,-16.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2019,-20.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,ES,2020,-20.3,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2009,20.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2010,16.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2011,7.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2012,10.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2013,5.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2014,5.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2015,13.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2016,15.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2017,18.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2018,14.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2019,9.6,
