DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2010,48.5,b
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2011,49.6,b
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2012,47.7,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2013,48.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2014,47.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2015,46.7,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2016,47.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2017,47.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2018,47.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2019,48.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2020,49.0,b
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2021,49.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2009,67.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2010,63.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2011,63.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2012,60.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2013,59.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2014,58.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2015,58.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2016,61.2,b
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2017,61.2,b
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2018,60.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2019,61.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2020,60.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DK,2021,59.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2009,41.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2010,40.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2011,39.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2012,39.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2013,39.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2014,38.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2015,38.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2016,38.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2017,38.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2018,38.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2019,38.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2020,36.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EA19,2021,38.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2009,34.6,
